source,destination,reachable,hops,total_slant_range_km,total_propagation_delay_ms,min_dataRate_Mbps,bottleneck_dataRate_Mbps,bottleneck_hop_index,bottleneck_from_node,bottleneck_to_node,link_rates_mbps,path_with_link_mbps,path_node_ids
"Malaga, Spain","Los Angeles, California, US",True,25,13309.25,44.3949,2367.68,2367.68,2,41_19,40_19,"2950.43, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[2367.68Mbps*]-> 40_19 -[2367.68Mbps]-> 39_19 -[2367.68Mbps]-> 38_19 -[2367.68Mbps]-> 37_19 -[2367.68Mbps]-> 36_19 -[2367.68Mbps]-> 35_19 -[2367.68Mbps]-> 34_19 -[2367.68Mbps]-> 33_19 -[2367.68Mbps]-> 32_19 -[2367.68Mbps]-> 31_19 -[2367.68Mbps]-> 30_19 -[2367.68Mbps]-> 29_19 -[2367.68Mbps]-> 28_19 -[2367.68Mbps]-> 27_19 -[2367.68Mbps]-> 26_19 -[2367.68Mbps]-> 25_19 -[2367.68Mbps]-> 24_19 -[2367.68Mbps]-> 23_19 -[2367.68Mbps]-> 22_19 -[2367.68Mbps]-> 21_19 -[2367.68Mbps]-> 20_19 -[2367.68Mbps]-> 19_19 -[2367.68Mbps]-> 18_19 -[2950.43Mbps]-> Los Angeles, California, US","Malaga, Spain -> 41_19 -> 40_19 -> 39_19 -> 38_19 -> 37_19 -> 36_19 -> 35_19 -> 34_19 -> 33_19 -> 32_19 -> 31_19 -> 30_19 -> 29_19 -> 28_19 -> 27_19 -> 26_19 -> 25_19 -> 24_19 -> 23_19 -> 22_19 -> 21_19 -> 20_19 -> 19_19 -> 18_19 -> Los Angeles, California, US"
"Malaga, Spain","Aalborg, Denmark",True,20,12926.57,43.1184,743.74,743.74,2,41_19,41_20,"2950.43, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_20 -[743.74Mbps]-> 41_21 -[743.74Mbps]-> 41_0 -[2884.49Mbps]-> 42_0 -[2884.49Mbps]-> 43_0 -[2884.49Mbps]-> 44_0 -[2884.49Mbps]-> 45_0 -[2884.49Mbps]-> 46_0 -[2884.49Mbps]-> 47_0 -[2884.49Mbps]-> 48_0 -[2884.49Mbps]-> 49_0 -[2884.49Mbps]-> 50_0 -[2884.49Mbps]-> 51_0 -[2884.49Mbps]-> 52_0 -[2884.49Mbps]-> 53_0 -[2884.49Mbps]-> 54_0 -[2884.49Mbps]-> 55_0 -[2884.49Mbps]-> 56_0 -[2950.43Mbps]-> Aalborg, Denmark","Malaga, Spain -> 41_19 -> 41_20 -> 41_21 -> 41_0 -> 42_0 -> 43_0 -> 44_0 -> 45_0 -> 46_0 -> 47_0 -> 48_0 -> 49_0 -> 50_0 -> 51_0 -> 52_0 -> 53_0 -> 54_0 -> 55_0 -> 56_0 -> Aalborg, Denmark"
"Malaga, Spain","Cordoba, Argentina (partner station)",True,37,31822.45,106.1483,743.74,743.74,2,41_19,41_18,"2950.43, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 743.74, 743.74, 743.74, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_18 -[743.74Mbps]-> 41_17 -[743.74Mbps]-> 41_16 -[743.74Mbps]-> 41_15 -[743.74Mbps]-> 41_14 -[743.74Mbps]-> 41_13 -[743.74Mbps]-> 41_12 -[743.74Mbps]-> 41_11 -[2884.49Mbps]-> 42_11 -[2884.49Mbps]-> 43_11 -[2884.49Mbps]-> 44_11 -[2884.49Mbps]-> 45_11 -[2884.49Mbps]-> 46_11 -[2884.49Mbps]-> 47_11 -[2884.49Mbps]-> 48_11 -[2884.49Mbps]-> 49_11 -[2884.49Mbps]-> 50_11 -[2884.49Mbps]-> 51_11 -[2884.49Mbps]-> 52_11 -[2884.49Mbps]-> 53_11 -[2884.49Mbps]-> 54_11 -[2884.49Mbps]-> 55_11 -[2884.49Mbps]-> 56_11 -[2884.49Mbps]-> 57_11 -[2884.49Mbps]-> 58_11 -[2884.49Mbps]-> 59_11 -[2884.49Mbps]-> 60_11 -[2884.49Mbps]-> 61_11 -[2884.49Mbps]-> 62_11 -[2884.49Mbps]-> 63_11 -[2884.49Mbps]-> 64_11 -[2884.49Mbps]-> 65_11 -[743.74Mbps]-> 65_10 -[743.74Mbps]-> 65_9 -[743.74Mbps]-> 65_8 -[2950.43Mbps]-> Cordoba, Argentina (partner station)","Malaga, Spain -> 41_19 -> 41_18 -> 41_17 -> 41_16 -> 41_15 -> 41_14 -> 41_13 -> 41_12 -> 41_11 -> 42_11 -> 43_11 -> 44_11 -> 45_11 -> 46_11 -> 47_11 -> 48_11 -> 49_11 -> 50_11 -> 51_11 -> 52_11 -> 53_11 -> 54_11 -> 55_11 -> 56_11 -> 57_11 -> 58_11 -> 59_11 -> 60_11 -> 61_11 -> 62_11 -> 63_11 -> 64_11 -> 65_11 -> 65_10 -> 65_9 -> 65_8 -> Cordoba, Argentina (partner station)"
"Malaga, Spain","Tolhuin, Argentina (partner station)",True,46,30300.62,101.072,743.74,743.74,2,41_19,41_18,"2950.43, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_18 -[743.74Mbps]-> 41_17 -[743.74Mbps]-> 41_16 -[743.74Mbps]-> 41_15 -[743.74Mbps]-> 41_14 -[743.74Mbps]-> 41_13 -[743.74Mbps]-> 41_12 -[743.74Mbps]-> 41_11 -[2884.49Mbps]-> 40_11 -[2884.49Mbps]-> 39_11 -[2884.49Mbps]-> 38_11 -[2884.49Mbps]-> 37_11 -[2884.49Mbps]-> 36_11 -[2884.49Mbps]-> 35_11 -[2884.49Mbps]-> 34_11 -[2884.49Mbps]-> 33_11 -[2884.49Mbps]-> 32_11 -[2884.49Mbps]-> 31_11 -[2884.49Mbps]-> 30_11 -[2884.49Mbps]-> 29_11 -[2884.49Mbps]-> 28_11 -[2884.49Mbps]-> 27_11 -[2884.49Mbps]-> 26_11 -[2884.49Mbps]-> 25_11 -[2884.49Mbps]-> 24_11 -[2884.49Mbps]-> 23_11 -[2884.49Mbps]-> 22_11 -[2884.49Mbps]-> 21_11 -[2884.49Mbps]-> 20_11 -[2884.49Mbps]-> 19_11 -[2884.49Mbps]-> 18_11 -[2884.49Mbps]-> 17_11 -[2884.49Mbps]-> 16_11 -[2884.49Mbps]-> 15_11 -[2884.49Mbps]-> 14_11 -[2884.49Mbps]-> 13_11 -[2884.49Mbps]-> 12_11 -[2884.49Mbps]-> 11_11 -[2884.49Mbps]-> 10_11 -[2884.49Mbps]-> 9_11 -[2884.49Mbps]-> 8_11 -[2884.49Mbps]-> 7_11 -[2884.49Mbps]-> 6_11 -[2884.49Mbps]-> 5_11 -[2950.43Mbps]-> Tolhuin, Argentina (partner station)","Malaga, Spain -> 41_19 -> 41_18 -> 41_17 -> 41_16 -> 41_15 -> 41_14 -> 41_13 -> 41_12 -> 41_11 -> 40_11 -> 39_11 -> 38_11 -> 37_11 -> 36_11 -> 35_11 -> 34_11 -> 33_11 -> 32_11 -> 31_11 -> 30_11 -> 29_11 -> 28_11 -> 27_11 -> 26_11 -> 25_11 -> 24_11 -> 23_11 -> 22_11 -> 21_11 -> 20_11 -> 19_11 -> 18_11 -> 17_11 -> 16_11 -> 15_11 -> 14_11 -> 13_11 -> 12_11 -> 11_11 -> 10_11 -> 9_11 -> 8_11 -> 7_11 -> 6_11 -> 5_11 -> Tolhuin, Argentina (partner station)"
"Malaga, Spain","Inuvik, Northwest Territories, Canada",True,19,13703.72,45.7107,743.74,743.74,2,41_19,41_20,"2950.43, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 1920.61","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_20 -[743.74Mbps]-> 41_21 -[743.74Mbps]-> 41_0 -[2884.49Mbps]-> 40_0 -[2884.49Mbps]-> 39_0 -[2884.49Mbps]-> 38_0 -[2884.49Mbps]-> 37_0 -[2884.49Mbps]-> 36_0 -[2884.49Mbps]-> 35_0 -[2884.49Mbps]-> 34_0 -[2884.49Mbps]-> 33_0 -[2884.49Mbps]-> 32_0 -[2884.49Mbps]-> 31_0 -[2884.49Mbps]-> 30_0 -[2884.49Mbps]-> 29_0 -[2884.49Mbps]-> 28_0 -[2884.49Mbps]-> 27_0 -[1920.61Mbps]-> Inuvik, Northwest Territories, Canada","Malaga, Spain -> 41_19 -> 41_20 -> 41_21 -> 41_0 -> 40_0 -> 39_0 -> 38_0 -> 37_0 -> 36_0 -> 35_0 -> 34_0 -> 33_0 -> 32_0 -> 31_0 -> 30_0 -> 29_0 -> 28_0 -> 27_0 -> Inuvik, Northwest Territories, Canada"
"Malaga, Spain","Nemea, Greece",True,34,21265.52,70.9341,743.74,743.74,2,41_19,41_20,"2950.43, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 743.74, 743.74, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_20 -[743.74Mbps]-> 41_21 -[743.74Mbps]-> 41_0 -[2884.49Mbps]-> 42_0 -[2884.49Mbps]-> 43_0 -[2884.49Mbps]-> 44_0 -[2884.49Mbps]-> 45_0 -[2884.49Mbps]-> 46_0 -[2884.49Mbps]-> 47_0 -[2884.49Mbps]-> 48_0 -[2884.49Mbps]-> 49_0 -[2884.49Mbps]-> 50_0 -[2884.49Mbps]-> 51_0 -[2884.49Mbps]-> 52_0 -[2884.49Mbps]-> 53_0 -[2884.49Mbps]-> 54_0 -[2884.49Mbps]-> 55_0 -[2884.49Mbps]-> 56_0 -[2884.49Mbps]-> 57_0 -[2884.49Mbps]-> 58_0 -[2884.49Mbps]-> 59_0 -[2884.49Mbps]-> 60_0 -[2884.49Mbps]-> 61_0 -[2884.49Mbps]-> 62_0 -[2884.49Mbps]-> 63_0 -[2884.49Mbps]-> 64_0 -[2884.49Mbps]-> 65_0 -[2884.49Mbps]-> 66_0 -[2884.49Mbps]-> 67_0 -[2884.49Mbps]-> 68_0 -[743.74Mbps]-> 68_1 -[743.74Mbps]-> 68_2 -[2950.43Mbps]-> Nemea, Greece","Malaga, Spain -> 41_19 -> 41_20 -> 41_21 -> 41_0 -> 42_0 -> 43_0 -> 44_0 -> 45_0 -> 46_0 -> 47_0 -> 48_0 -> 49_0 -> 50_0 -> 51_0 -> 52_0 -> 53_0 -> 54_0 -> 55_0 -> 56_0 -> 57_0 -> 58_0 -> 59_0 -> 60_0 -> 61_0 -> 62_0 -> 63_0 -> 64_0 -> 65_0 -> 66_0 -> 67_0 -> 68_0 -> 68_1 -> 68_2 -> Nemea, Greece"
"Malaga, Spain","Nuuk, Greenland",True,8,9251.14,30.8585,743.74,743.74,2,41_19,41_20,"2950.43, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2301.56","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_20 -[743.74Mbps]-> 41_21 -[743.74Mbps]-> 41_0 -[2884.49Mbps]-> 42_0 -[2884.49Mbps]-> 43_0 -[2884.49Mbps]-> 44_0 -[2301.56Mbps]-> Nuuk, Greenland","Malaga, Spain -> 41_19 -> 41_20 -> 41_21 -> 41_0 -> 42_0 -> 43_0 -> 44_0 -> Nuuk, Greenland"
"Malaga, Spain","Bangalore, India (partner station)",True,17,10970.24,36.5928,743.74,743.74,16,55_19,55_18,"2950.43, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 2367.68, 743.74, 2884.49","Malaga, Spain -[2950.43Mbps]-> 41_19 -[2367.68Mbps]-> 42_19 -[2367.68Mbps]-> 43_19 -[2367.68Mbps]-> 44_19 -[2367.68Mbps]-> 45_19 -[2367.68Mbps]-> 46_19 -[2367.68Mbps]-> 47_19 -[2367.68Mbps]-> 48_19 -[2367.68Mbps]-> 49_19 -[2367.68Mbps]-> 50_19 -[2367.68Mbps]-> 51_19 -[2367.68Mbps]-> 52_19 -[2367.68Mbps]-> 53_19 -[2367.68Mbps]-> 54_19 -[2367.68Mbps]-> 55_19 -[743.74Mbps*]-> 55_18 -[2884.49Mbps]-> Bangalore, India (partner station)","Malaga, Spain -> 41_19 -> 42_19 -> 43_19 -> 44_19 -> 45_19 -> 46_19 -> 47_19 -> 48_19 -> 49_19 -> 50_19 -> 51_19 -> 52_19 -> 53_19 -> 54_19 -> 55_19 -> 55_18 -> Bangalore, India (partner station)"
"Malaga, Spain","Tokyo, Japan",True,27,20338.05,67.8404,743.74,743.74,2,41_19,41_20,"2950.43, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 743.74, 743.74, 743.74, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_20 -[743.74Mbps]-> 41_21 -[743.74Mbps]-> 41_0 -[2884.49Mbps]-> 40_0 -[2884.49Mbps]-> 39_0 -[2884.49Mbps]-> 38_0 -[2884.49Mbps]-> 37_0 -[2884.49Mbps]-> 36_0 -[2884.49Mbps]-> 35_0 -[2884.49Mbps]-> 34_0 -[2884.49Mbps]-> 33_0 -[2884.49Mbps]-> 32_0 -[2884.49Mbps]-> 31_0 -[2884.49Mbps]-> 30_0 -[2884.49Mbps]-> 29_0 -[2884.49Mbps]-> 28_0 -[2884.49Mbps]-> 27_0 -[2884.49Mbps]-> 26_0 -[2884.49Mbps]-> 25_0 -[2884.49Mbps]-> 24_0 -[2884.49Mbps]-> 23_0 -[2884.49Mbps]-> 22_0 -[743.74Mbps]-> 22_1 -[743.74Mbps]-> 22_2 -[743.74Mbps]-> 22_3 -[2950.43Mbps]-> Tokyo, Japan","Malaga, Spain -> 41_19 -> 41_20 -> 41_21 -> 41_0 -> 40_0 -> 39_0 -> 38_0 -> 37_0 -> 36_0 -> 35_0 -> 34_0 -> 33_0 -> 32_0 -> 31_0 -> 30_0 -> 29_0 -> 28_0 -> 27_0 -> 26_0 -> 25_0 -> 24_0 -> 23_0 -> 22_0 -> 22_1 -> 22_2 -> 22_3 -> Tokyo, Japan"
"Malaga, Spain",Mauritius,True,38,30613.95,102.1171,743.74,743.74,2,41_19,41_20,"2950.43, 743.74, 743.74, 743.74, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 2884.49, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 743.74, 2950.43","Malaga, Spain -[2950.43Mbps]-> 41_19 -[743.74Mbps*]-> 41_20 -[743.74Mbps]-> 41_21 -[743.74Mbps]-> 41_0 -[2884.49Mbps]-> 40_0 -[2884.49Mbps]-> 39_0 -[2884.49Mbps]-> 38_0 -[2884.49Mbps]-> 37_0 -[2884.49Mbps]-> 36_0 -[2884.49Mbps]-> 35_0 -[2884.49Mbps]-> 34_0 -[2884.49Mbps]-> 33_0 -[2884.49Mbps]-> 32_0 -[2884.49Mbps]-> 31_0 -[2884.49Mbps]-> 30_0 -[2884.49Mbps]-> 29_0 -[2884.49Mbps]-> 28_0 -[2884.49Mbps]-> 27_0 -[2884.49Mbps]-> 26_0 -[2884.49Mbps]-> 25_0 -[2884.49Mbps]-> 24_0 -[2884.49Mbps]-> 23_0 -[2884.49Mbps]-> 22_0 -[2884.49Mbps]-> 21_0 -[2884.49Mbps]-> 20_0 -[2884.49Mbps]-> 19_0 -[2884.49Mbps]-> 18_0 -[2884.49Mbps]-> 17_0 -[2884.49Mbps]-> 16_0 -[2884.49Mbps]-> 15_0 -[743.74Mbps]-> 15_1 -[743.74Mbps]-> 15_2 -[743.74Mbps]-> 15_3 -[743.74Mbps]-> 15_4 -[743.74Mbps]-> 15_5 -[743.74Mbps]-> 15_6 -[743.74Mbps]-> 15_7 -[2950.43Mbps]-> Mauritius","Malaga, Spain -> 41_19 -> 41_20 -> 41_21 -> 41_0 -> 40_0 -> 39_0 -> 38_0 -> 37_0 -> 36_0 -> 35_0 -> 34_0 -> 33_0 -> 32_0 -> 31_0 -> 30_0 -> 29_0 -> 28_0 -> 27_0 -> 26_0 -> 25_0 -> 24_0 -> 23_0 -> 22_0 -> 21_0 -> 20_0 -> 19_0 -> 18_0 -> 17_0 -> 16_0 -> 15_0 -> 15_1 -> 15_2 -> 15_3 -> 15_4 -> 15_5 -> 15_6 -> 15_7 -> Mauritius"
