u,v,count_pkts,lambda_pkt_s,capacity_bps,mu_pkt_s,rho,prop_delay_ms,Wq_ms,W_ms,total_delay_ms
3,14,74524,248.41333333333333,296000000.0,30833.333333333332,0.008056648648648648,2.790956143304901,0.00026341898715604453,0.03269585141958847,2.8236519947244894
19,37,41646,138.82,215000000.0,22395.833333333332,0.006198474418604651,2.5463052989140094,0.00027849533653832495,0.044929658127236,2.5912349570412454
3,19,35041,116.80333333333333,221000000.0,23020.833333333332,0.005073809954751131,10.391708455855204,0.0002215247689926677,0.04366043879614199,10.435368894651345
11,38,34913,116.37666666666667,231000000.0,24062.5,0.0048364329004329,3.740673690771421,0.00020197143533878483,0.04176041299378034,3.7824341037652016
34,39,45416,151.38666666666666,319000000.0,33229.166666666664,0.004555836990595611,5.229308496208637,0.00013773103849761415,0.03023177492564495,5.2595402711342825
4,34,37417,124.72333333333333,315000000.0,32812.5,0.0038010920634920634,5.610921031765914,0.00011628481503204297,0.03059247529122252,5.6415135070571365
19,31,25094,83.64666666666666,233000000.0,24270.833333333332,0.0034463862660944204,8.699334906173672,0.00014248809973604844,0.041344204837933475,8.740679111011605
8,21,21407,71.35666666666667,225000000.0,23437.5,0.003044551111111111,3.6469208911348217,0.00013029754494263757,0.042796964211609306,3.689717855346431
3,36,32753,109.17666666666666,360000000.0,37500.0,0.0029113777777777777,6.455268596491955,7.78634306022978e-05,0.026744530097268963,6.482013126589224
11,36,25784,85.94666666666667,290000000.0,30208.333333333332,0.002845131034482759,6.3121513129314195,9.445237742835205e-05,0.03319790065329042,6.34534921358471
34,38,27739,92.46333333333334,315000000.0,32812.5,0.002817930158730159,8.536285109906329,8.612246335288823e-05,0.03056231293954336,8.566847422845871
34,37,44110,147.03333333333333,508000000.0,52916.666666666664,0.0027785826771653545,6.075622688548593,5.265495516358249e-05,0.018950292750439177,6.094572981299033
14,25,62064,206.88,777000000.0,80937.5,0.002556046332046332,4.618279167696684,3.166142328705431e-05,0.01238687377849941,4.630666041475184
14,35,38829,129.43,542000000.0,56458.333333333336,0.002292487084870849,5.464342909429982,4.069823748040627e-05,0.017752875359251623,5.482095784789234
4,35,42784,142.61333333333334,633000000.0,65937.5,0.0021628562401263826,2.067216356937367,3.28727101709887e-05,0.015198749487422171,2.082415106424789
9,21,30995,103.31666666666666,505000000.0,52604.166666666664,0.001964039603960396,8.502753062254836,3.740967249026246e-05,0.019047310662589273,8.521800372917426
23,25,24692,82.30666666666667,406000000.0,42291.666666666664,0.0019461674876847294,14.306318720111786,4.6107486294147296e-05,0.023691427683338484,14.330010147795125
3,15,27374,91.24666666666667,467000000.0,48645.833333333336,0.0018757344753747322,11.267998764884664,3.8631457996993876e-05,0.020595376640009842,11.288594141524674
16,17,13654,45.513333333333335,236000000.0,24583.333333333332,0.0018513898305084747,9.397195078828338,7.545046098261683e-05,0.04075341656267754,9.437948495391016
9,39,29426,98.08666666666667,559000000.0,58229.166666666664,0.0016844937388193204,8.977372419993117,2.897750633257322e-05,0.01720250165660091,8.994574921649718
32,37,10860,36.2,208000000.0,21666.666666666668,0.0016707692307692309,16.274425845764615,7.724147872148994e-05,0.04623108763256764,16.32065693339718
17,39,34095,113.65,657000000.0,68437.5,0.0016606392694063928,7.798939576044052,2.4305411205697465e-05,0.014636177557324418,7.813575753601377
10,11,28505,95.01666666666667,559000000.0,58229.166666666664,0.0016317710196779964,4.7035951232681334,2.806906129491868e-05,0.017201593211563254,4.720796716479697
12,39,16184,53.946666666666665,329000000.0,34270.833333333336,0.001574127659574468,7.407561466623266,4.600440931138099e-05,0.029225335716302255,7.436786802339568
4,7,23464,78.21333333333334,498000000.0,51875.0,0.0015077269076305222,2.2122924597651057,2.9108502759705083e-05,0.019306216936494643,2.2315986767016005
26,37,17996,59.986666666666665,384000000.0,40000.0,0.0014996666666666665,15.553595064759572,3.7547976114846895e-05,0.025037547976114845,15.578632612735687
9,27,27299,90.99666666666667,586000000.0,61041.666666666664,0.0014907303754266212,3.066529562219065,2.4457981765034273e-05,0.016406710541491995,3.082936272760557
0,34,12499,41.663333333333334,271000000.0,28229.166666666668,0.0014758966789667897,7.454583682747644,5.2359964680570246e-05,0.035476714208223,7.490060396955867
17,31,9603,32.01,222000000.0,23125.0,0.0013842162162162161,10.41914390265373,5.994096980149456e-05,0.043303184213044736,10.462447086866774
6,15,24742,82.47333333333333,598000000.0,62291.666666666664,0.0013239866220735785,6.816787482148138,2.1282812895182672e-05,0.016074794518580803,6.832862276666718
4,12,10548,35.16,258000000.0,26875.0,0.0013082790697674417,14.456578175873105,4.874392208625095e-05,0.037258046247667646,14.493836222120773
29,33,22717,75.72333333333333,586000000.0,61041.666666666664,0.001240518771331058,9.540265716437332,2.0347733562465854e-05,0.016402600293289427,9.556668316730622
25,30,24443,81.47666666666667,674000000.0,70208.33333333333,0.001160498516320475,4.719121005382679,1.654856030174947e-05,0.014259872002438249,4.733380877385117
1,19,22591,75.30333333333333,632000000.0,65833.33333333333,0.0011438481012658228,10.011373505887638,1.7394804881864964e-05,0.015207268222603385,10.026580774110242
0,22,7184,23.946666666666665,203000000.0,21145.833333333332,0.0011324532019704433,16.347249717536833,5.361515379010225e-05,0.04734425554787878,16.394593973084714
1,33,12353,41.17666666666667,353000000.0,36770.833333333336,0.0011198186968838528,11.08186866124316,3.0488134072326453e-05,0.02722595555616864,11.109094616799329
13,17,25281,84.27,725000000.0,75520.83333333333,0.0011158510344827586,4.369084684549503,1.4791912372149317e-05,0.01325617122271698,4.38234085577222
15,33,14764,49.21333333333333,426000000.0,44375.0,0.0011090328638497652,13.548290694004653,2.5020037933895633e-05,0.022560231305539528,13.570850925310193
2,32,18062,60.20666666666666,573000000.0,59687.5,0.001008698080279232,5.875556568240781,1.6916717561542264e-05,0.016770843419132223,5.892327411659913
3,5,21313,71.04333333333334,707000000.0,73645.83333333333,0.0009646619519094768,13.025712876914554,1.311131097906602e-05,0.013591612018192646,13.039304488932746
10,32,12315,41.05,464000000.0,48333.333333333336,0.0008493103448275861,13.48393845418998,1.7586874883618457e-05,0.02070724204729741,13.504645696237278
16,31,10953,36.51,426000000.0,44375.0,0.0008227605633802816,6.310805828273208,1.8556350551863213e-05,0.022553767618157496,6.333359595891365
21,37,15590,51.96666666666667,637000000.0,66354.16666666667,0.000783171114599686,11.427321942388646,1.1812143708650479e-05,0.01508245578578086,11.442404398174427
22,36,14806,49.35333333333333,610000000.0,63541.666666666664,0.0007767081967213115,12.625237681214864,1.22331059610887e-05,0.015749938023993874,12.640987619238858
0,35,11613,38.71,481000000.0,50104.166666666664,0.0007725904365904366,7.011661017813919,1.5431606701089448e-05,0.019973851565121048,7.03163486937904
9,14,15496,51.653333333333336,645000000.0,67187.5,0.0007687937984496125,11.740588784776797,1.1451316049780645e-05,0.014895172246282338,11.75548395702308
10,18,10429,34.763333333333335,440000000.0,45833.333333333336,0.0007584727272727272,19.61746191940199,1.6561056977821085e-05,0.02183474287515964,19.63929666227715
21,26,5781,19.27,273000000.0,28437.5,0.0006776263736263736,13.83969314069326,2.3844777582079306e-05,0.03518867994241725,13.874881820635677
15,39,15051,50.17,731000000.0,76145.83333333333,0.0006588673050615596,12.254496940528544,8.658408064273304e-06,0.013141353346504766,12.267638293875049
29,32,3901,13.003333333333334,203000000.0,21145.833333333332,0.000614935960591133,16.589482945710415,2.909860915888374e-05,0.04731973900324756,16.63680268471366
10,14,7027,23.423333333333332,394000000.0,41041.666666666664,0.0005707208121827411,16.694085868743365,1.3913828721157028e-05,0.024379396062223696,16.718465264805587
3,24,12882,42.94,751000000.0,78229.16666666667,0.0005489001331557922,11.25411763879125,7.020419792042557e-06,0.01278997647838059,11.26690761526963
11,13,9582,31.94,563000000.0,58645.833333333336,0.0005446252220248668,14.17610438863019,9.291742811343706e-06,0.017060801511905484,14.193165190142095
2,14,10437,34.79,620000000.0,64583.333333333336,0.0005386838709677419,19.801282658273927,8.345407086662506e-06,0.015492216374828597,19.816774874648754
3,20,10964,36.54666666666667,685000000.0,71354.16666666667,0.0005121868613138686,13.326072580838188,7.181771647930322e-06,0.014021780311793915,13.340094361149982
0,9,10853,36.17666666666667,701000000.0,73020.83333333333,0.000495429386590585,7.402993128402057,6.788130673181012e-06,0.013701509956636092,7.416694638358694
12,33,11835,39.45,771000000.0,80312.5,0.0004912062256809339,14.09177292700313,6.119192252953312e-06,0.012457481059957233,14.104230408063087
15,20,10890,36.3,757000000.0,78854.16666666667,0.000460343461030383,5.249944972080409,5.840597830149971e-06,0.012687478642744283,5.262632450723154
24,38,5804,19.346666666666668,413000000.0,43020.833333333336,0.0004497046004842615,15.774452899013406,1.0457884955704511e-05,0.02325500994306708,15.797707908956474
2,4,7687,25.623333333333335,550000000.0,57291.666666666664,0.00044724363636363643,19.919005101819067,7.80992732045983e-06,0.017462355381865916,19.936467457200933
18,33,7164,23.88,529000000.0,55104.166666666664,0.0004333610586011342,15.523848557388702,7.86780688386276e-06,0.018155315822006735,15.542003873210708
33,38,10252,34.17333333333333,772000000.0,80416.66666666667,0.00042495336787564764,15.06528956991957,5.286640787732648e-06,0.012440519801409493,15.077730089720978
17,30,7833,26.11,628000000.0,65416.666666666664,0.00039913375796178343,17.771938545966876,6.103844015220702e-06,0.015292728047836877,17.78723127401471
15,17,7777,25.923333333333332,650000000.0,67708.33333333333,0.0003828676923076923,11.941876778010748,5.656827118119647e-06,0.014774887596348893,11.956651665607097
2,8,6362,21.206666666666667,532000000.0,55416.666666666664,0.0003826766917293233,16.267914545847553,6.908087625399687e-06,0.018052020869580288,16.285966566717132
11,15,9019,30.063333333333333,775000000.0,80729.16666666667,0.0003723974193548387,9.925642409387375,4.614641352539258e-06,0.012391711415546087,9.938034120802921
8,19,5867,19.55666666666667,506000000.0,52708.333333333336,0.00037103557312252966,13.514909004965473,7.042022923968619e-06,0.018979374038734242,13.533888379004207
13,18,7214,24.046666666666667,708000000.0,73750.0,0.00032605649717514125,19.009067080609633,4.422547046641213e-06,0.013563744580944946,19.02263082519058
0,11,3289,10.963333333333333,335000000.0,34895.833333333336,0.00031417313432835817,17.723962017132713,9.005999859777551e-06,0.028665722417770222,17.752627739550483
13,15,3838,12.793333333333333,498000000.0,51875.0,0.0002466184738955823,13.919865290092169,4.755263798948438e-06,0.01928186369753389,13.939147153789703
5,21,3205,10.683333333333334,422000000.0,43958.333333333336,0.00024303317535545024,16.94085913643142,5.530060773566965e-06,0.022754345226650343,16.963613481658072
10,20,2627,8.756666666666666,428000000.0,44583.333333333336,0.000196411214953271,12.619850474190985,4.406350651898604e-06,0.02243431289270797,12.642284787083693
22,35,2709,9.03,457000000.0,47604.166666666664,0.00018968927789934353,17.71056575416594,3.98547606298172e-06,0.0210105500274853,17.731576304193425
24,27,3886,12.953333333333333,719000000.0,74895.83333333333,0.00017295132127955495,11.343772756927821,2.309624326408853e-06,0.013354187232115006,11.357126944159937
13,33,3232,10.773333333333333,707000000.0,73645.83333333333,0.0001462857142857143,18.27050218752668,1.9866312906611918e-06,0.013580487338504239,18.284082674865186
7,9,1279,4.263333333333334,292000000.0,30416.666666666668,0.00014016438356164384,17.845978771654917,4.608790105319217e-06,0.03288132111887244,17.878860092773788
12,15,1907,6.3566666666666665,441000000.0,45937.5,0.0001383764172335601,19.420904918878787,3.0126926349150337e-06,0.021771720175628114,19.442676639054415
26,29,3222,10.74,746000000.0,77708.33333333333,0.00013820911528150136,18.801549061533713,1.7788081889301937e-06,0.012870411515963732,18.814419473049675
31,33,3273,10.91,783000000.0,81562.5,0.0001337624521072797,13.312315061593234,1.640218812499912e-06,0.012262176617279933,13.324577238210514
0,12,2541,8.47,748000000.0,77916.66666666667,0.00010870588235294118,16.782111530889793,1.3953073874632682e-06,0.012835619906317944,16.794947150796112
21,24,1954,6.513333333333334,745000000.0,77604.16666666667,8.393020134228188e-05,19.408668237152618,1.0816074679700177e-06,0.012886987647736426,19.421555224800354
0,4,0,0.0,767000000.0,79895.83333333333,0.0,18.149848417452358,0.0,0.012516297262059975,18.162364714714418
9,17,0,0.0,636000000.0,66250.0,0.0,17.684108780471853,0.0,0.01509433962264151,17.699203120094495
7,12,0,0.0,311000000.0,32395.833333333332,0.0,17.248704434585648,0.0,0.030868167202572346,17.27957260178822
30,35,0,0.0,282000000.0,29375.0,0.0,16.67461300391082,0.0,0.03404255319148936,16.70865555710231
0,7,0,0.0,575000000.0,59895.833333333336,0.0,15.962342424413483,0.0,0.016695652173913045,15.979038076587397
